機種名,規格,廠商,站數,有庫存,最低價,最高價,價差,價差%,最便宜店家,ホームスロット 價格,ホームスロット 連結,A-SLOT 價格,A-SLOT 連結,イニシャルP (FC2) 價格,イニシャルP (FC2) 連結,行情排名,行情價,本週漲跌,上市週數,備註
アクロス ハナビ通,,,2,是,64100,210000,145900,69.5,A-SLOT,210000,https://home-slot.net/SHOP/s-across211.html,64100,https://www.a-slot.com/SHOP/across7.html,,,,-,,,
島唄30,,オリンピア,2,否,35727,135000,99273,73.5,ホームスロット,35727,https://home-slot.net/SHOP/s-heiwa9.html,135000,https://www.a-slot.com/SHOP/heiwa9.html,,,,-,,,
南国育ち30 蝶パネル,,平和,2,否,45156,135000,89844,66.6,ホームスロット,45156,https://home-slot.net/SHOP/s-heiwa24.html,135000,https://www.a-slot.com/SHOP/heiwa24.html,,,,-,,,
ヒデキに夢中!!ギャランドゥパネル,,オリンピア,2,否,28742,108500,79758,73.5,ホームスロット,28742,https://home-slot.net/SHOP/s-heiwa90.html,108500,https://www.a-slot.com/SHOP/heiwa90.html,,,,-,,,
スーパーバニーガール 黒 Y,,オリンピア,2,否,64542,142200,77658,54.6,ホームスロット,64542,https://home-slot.net/SHOP/s-heiwa26.html,142200,https://www.a-slot.com/SHOP/heiwa26.html,,,,-,,,
ゴールド獣王,,Sammy,2,否,37909,95000,57091,60.1,ホームスロット,37909,https://home-slot.net/SHOP/s-sammy50.html,95000,https://www.a-slot.com/SHOP/sammy50.html,,,,-,,,
タイヨーエレック ToHeart2 トゥーハート2,,,2,否,43642,99800,56158,56.3,ホームスロット,43642,https://home-slot.net/SHOP/s-taiyo_elec15.html,99800,https://www.a-slot.com/SHOP/taiyo_elec15.html,,,,-,,,
新 吉宗 殿パネル,,大都技研,2,否,35100,89000,53900,60.6,ホームスロット,35100,https://home-slot.net/SHOP/s-daitogiken8.html,89000,https://www.a-slot.com/SHOP/daitogiken8.html,,,,-,,,
キングパルサー ブラックパネル,,山佐,2,否,37909,89220,51311,57.5,ホームスロット,37909,https://home-slot.net/SHOP/s-yamasa6.html,89220,https://www.a-slot.com/SHOP/yamasa6.html,,,,-,,,
忍魂 月光Ver,,大都技研,2,否,28742,79800,51058,64.0,ホームスロット,28742,https://home-slot.net/SHOP/s-daitogiken26.html,79800,https://www.a-slot.com/SHOP/daitogiken26.html,,,,-,,,
SNKプレイモア 神たま,,,2,否,28742,78500,49758,63.4,ホームスロット,28742,https://home-slot.net/SHOP/s-snk11.html,78500,https://www.a-slot.com/SHOP/snk11.html,,,,-,,,
ウイングマン,,オリンピア,2,否,32549,79800,47251,59.2,ホームスロット,32549,https://home-slot.net/SHOP/s-heiwa71.html,79800,https://www.a-slot.com/SHOP/heiwa71.html,,,,-,,,
真 三國無双,,オリンピア,2,否,38399,83500,45101,54.0,A-SLOT,83500,https://home-slot.net/SHOP/s-heiwa58.html,38399,https://www.a-slot.com/SHOP/heiwa119.html,,,,-,,,
タイヨー 一騎当千A 関羽パネル,,,2,否,35727,75100,39373,52.4,ホームスロット,35727,https://home-slot.net/SHOP/s-taiyo7.html,75100,https://www.a-slot.com/SHOP/taiyo7.html,,,,-,,,
アイムジャグラーAPEX,,北電子,2,否,62800,98500,35700,36.2,A-SLOT,98500,https://home-slot.net/SHOP/s-kitadensi33.html,62800,https://www.a-slot.com/SHOP/kitadensi204.html,,,92,-,,805,
女番長,,高砂,2,否,29300,59800,30500,51.0,ホームスロット,29300,https://home-slot.net/SHOP/s-takasago3.html,59800,https://www.a-slot.com/SHOP/takasago3.html,,,,-,,,
バジリスク 甲賀忍法帖 破幻の瞳パネル,,ミズホ,2,否,37909,68220,30311,44.4,ホームスロット,37909,https://home-slot.net/SHOP/s-mizuho-macy22.html,68220,https://www.a-slot.com/SHOP/mizuho-macy22.html,,,,-,,,
ジャイアントパルサー,,山佐,2,否,28742,58000,29258,50.4,ホームスロット,28742,https://home-slot.net/SHOP/s-yamasa42.html,58000,https://www.a-slot.com/SHOP/yamasa42.html,,,,-,,,
みどりのマキバオー,,平和,2,否,39867,68500,28633,41.8,A-SLOT,68500,https://home-slot.net/SHOP/s-heiwa55.html,39867,https://www.a-slot.com/SHOP/heiwa55.html,,,,-,,,
タイヨーエレック 真 女神転生,,,2,否,44375,71820,27445,38.2,ホームスロット,44375,https://home-slot.net/SHOP/s-taiyo_elec8.html,71820,https://www.a-slot.com/SHOP/taiyo_elec8.html,,,,-,,,
NET 茉莉花の剣,,,2,否,19800,45100,25300,56.1,ホームスロット,19800,https://home-slot.net/SHOP/s-net16.html,45100,https://www.a-slot.com/SHOP/net16.html,,,,-,,,
夢夢ワールドDX,,SANKYO,2,否,28742,54000,25258,46.8,ホームスロット,28742,https://home-slot.net/SHOP/s-sankyo13.html,54000,https://www.a-slot.com/SHOP/sankyo13.html,,,,-,,,
100 生産品 鬼浜爆走紅蓮隊~友情挽歌編~ ライトバージョン,,ベルコ,2,否,42267,67000,24733,36.9,ホームスロット,42267,https://home-slot.net/SHOP/s-bellco7.html,67000,https://www.a-slot.com/SHOP/bellco7.html,,,,-,,,
バルテック 一騎当千XX,,,2,否,36583,59500,22917,38.5,ホームスロット,36583,https://home-slot.net/SHOP/s-baltec5.html,59500,https://www.a-slot.com/SHOP/baltec5.html,,,,-,,,
ポパイブリッド,,Sammy,2,否,35209,57800,22591,39.1,ホームスロット,35209,https://home-slot.net/SHOP/s-sammy47.html,57800,https://www.a-slot.com/SHOP/sammy47.html,,,,-,,,
ニイガタ電子 鉄拳X,,山佐,2,否,28742,50220,21478,42.8,ホームスロット,28742,https://home-slot.net/SHOP/s-yamasa29.html,50220,https://www.a-slot.com/SHOP/yamasa29.html,,,,-,,,
アビリット 鬼浜爆走紅蓮隊 爆音烈士編 初期パネル,,,2,否,28742,49500,20758,41.9,ホームスロット,28742,https://home-slot.net/SHOP/s-ginza9.html,49500,https://www.a-slot.com/SHOP/ginza9.html,,,,-,,,
プレイボーイ LimitedEdition,,山佐,2,否,71600,89910,18310,20.4,ホームスロット,71600,https://home-slot.net/SHOP/s-yamasa18.html,89910,https://www.a-slot.com/SHOP/yamasa18.html,,,,-,,,
セブンリーグ スーパーブラックジャック,スマスロ,,2,是,46500,62800,16300,26.0,ホームスロット,46500,https://home-slot.net/SHOP/s-yamasa242.html,62800,https://www.a-slot.com/SHOP/s-yamasa242.html,,,,-,,,
ルパン三世 ルパン一族の秘宝 不二子,,平和,2,否,35209,51500,16291,31.6,ホームスロット,35209,https://home-slot.net/SHOP/s-heiwa60.html,51500,https://www.a-slot.com/SHOP/heiwa60.html,,,,-,,,
ビスティ GTO,,,2,否,28742,44820,16078,35.9,ホームスロット,28742,https://home-slot.net/SHOP/s-sankyo8.html,44820,https://www.a-slot.com/SHOP/sankyo8.html,,,,-,,,
新 吉宗 姫パネル,,大都技研,2,否,28742,44820,16078,35.9,ホームスロット,28742,https://home-slot.net/SHOP/s-daitogiken19.html,44820,https://www.a-slot.com/SHOP/daitogiken19.html,,,,-,,,
アリストクラート 恐怖新聞~第二章~,,,2,否,22174,37909,15735,41.5,A-SLOT,37909,https://home-slot.net/SHOP/s-aristocrat12.html,22174,https://www.a-slot.com/SHOP/aristocrat12.html,,,,-,,,
サムライチャンプルー極,,ニューギン,2,否,27675,43408,15733,36.2,A-SLOT,43408,https://home-slot.net/SHOP/s-newgi7.html,27675,https://www.a-slot.com/SHOP/newgi7.html,,,,-,,,
天外魔境 卍MARU,,SANYO,2,否,37483,53216,15733,29.6,A-SLOT,53216,https://home-slot.net/SHOP/s-sanyo1.html,37483,https://www.a-slot.com/SHOP/sanyo1.html,,,,-,,,
JPS ドルマッチ,,,2,否,23367,38508,15141,39.3,A-SLOT,38508,https://home-slot.net/SHOP/s-jps21.html,23367,https://www.a-slot.com/SHOP/jps21.html,,,,-,,,
ニューハナハナ30,,パイオニア,2,否,23549,37909,14360,37.9,A-SLOT,37909,https://home-slot.net/SHOP/s-pioneer3.html,23549,https://www.a-slot.com/SHOP/pioneer3.html,,,,-,,,
3号機 スーパープラネット,,山佐,2,否,58500,71876,13376,18.6,A-SLOT,71876,https://home-slot.net/SHOP/s-yamasa19.html,58500,https://www.a-slot.com/SHOP/yamasa19.html,,,,-,,,
24 TWENTY FOUR,,大都技研,2,否,15484,28742,13258,46.1,A-SLOT,28742,https://home-slot.net/SHOP/s-daitogiken14.html,15484,https://www.a-slot.com/SHOP/daitogiken14.html,,,,-,,,
舞 HiME,,岡崎産業,2,否,39792,53000,13208,24.9,ホームスロット,39792,https://home-slot.net/SHOP/s-okaaki1.html,53000,https://www.a-slot.com/SHOP/okaaki1.html,,,,-,,,
SNKプレイモア 神たま ~ARTやで!全員集合~,,,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-snk15.html,22174,https://www.a-slot.com/SHOP/snk15.html,,,,-,,,
ルーニー テューンズ バック イン アクション,,オリンピア,2,否,41974,55009,13035,23.7,A-SLOT,55009,https://home-slot.net/SHOP/s-heiwa33.html,41974,https://www.a-slot.com/SHOP/heiwa33.html,,,,-,,,
科学忍者隊ガッチャマンGR,,岡崎産業,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-okaaki2.html,22174,https://www.a-slot.com/SHOP/okaaki2.html,,,,-,,,
オーイズミ ハネスロ林家一家,,,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-oizumi11.html,22174,https://www.a-slot.com/SHOP/oizumi11.html,,,,-,,,
ヤーマ スーパージャックポットN,5号機,,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-yama1.html,22174,https://www.a-slot.com/SHOP/yama1.html,,,,-,,,
KPE 爆音伝説サクラ,,,2,否,34549,47584,13035,27.4,A-SLOT,47584,https://home-slot.net/SHOP/s-kpe23.html,34549,https://www.a-slot.com/SHOP/kpe23.html,,,,-,,,
TRIVY クローズ,,,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-trivy4.html,22174,https://www.a-slot.com/SHOP/trivy4.html,,,,-,,,
DAXEL 剣豪,,,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-daxel1.html,22174,https://www.a-slot.com/SHOP/daxel1.html,,,,-,,,
楽シーサーR ブルー,,SANKYO,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-sankyo11.html,22174,https://www.a-slot.com/SHOP/sankyo11.html,,,,-,,,
スーパーセブン,,パイオニア,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-pioneer13.html,22174,https://www.a-slot.com/SHOP/pioneer13.html,,,,-,,,
湘南爆走族,,大一,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-daiichi1.html,22174,https://www.a-slot.com/SHOP/daiichi1.html,,,,-,,,
天誅,,ニューギン,2,否,22174,35209,13035,37.0,A-SLOT,35209,https://home-slot.net/SHOP/s-newgi4.html,22174,https://www.a-slot.com/SHOP/newgi4.html,,,,-,,,
SNKプレイモア アフロのモンチ,,,2,否,27597,40631,13034,32.1,A-SLOT,40631,https://home-slot.net/SHOP/s-snk26.html,27597,https://www.a-slot.com/SHOP/snk26.html,,,,-,,,
アルゼ バチヘビノッチ,,,2,否,21074,34108,13034,38.2,A-SLOT,34108,https://home-slot.net/SHOP/s-eleco48.html,21074,https://www.a-slot.com/SHOP/eleco48.html,,,,-,,,
青ドン 葉月のおねだり,,ミズホ,2,否,28775,41809,13034,31.2,A-SLOT,41809,https://home-slot.net/SHOP/s-eleco11.html,28775,https://www.a-slot.com/SHOP/eleco11.html,,,,-,,,
アルゼ タコスロ7R,,,2,否,51508,64542,13034,20.2,A-SLOT,64542,https://home-slot.net/SHOP/s-eleco19.html,51508,https://www.a-slot.com/SHOP/eleco19.html,,,,-,,,
SNKプレイモア マキシマムインパクト,,,2,否,25522,38555,13033,33.8,A-SLOT,38555,https://home-slot.net/SHOP/s-snk27.html,25522,https://www.a-slot.com/SHOP/snk27.html,,,,-,,,
SNKプレイモア 超お父さん2,,,2,否,31342,44375,13033,29.4,A-SLOT,44375,https://home-slot.net/SHOP/s-snk18.html,31342,https://www.a-slot.com/SHOP/snk18.html,,,,-,,,
JPS シンゾウニンゲン,,,2,否,23367,36400,13033,35.8,A-SLOT,36400,https://home-slot.net/SHOP/s-jps11.html,23367,https://www.a-slot.com/SHOP/jps11.html,,,,-,,,
エイリアンVSプレデター,,藤商事,2,否,37483,50516,13033,25.8,A-SLOT,50516,https://home-slot.net/SHOP/s-fuji4.html,37483,https://www.a-slot.com/SHOP/fuji4.html,,,,-,,,
スーパー海物語IN沖縄30,,SANYO,2,否,31342,44375,13033,29.4,A-SLOT,44375,https://home-slot.net/SHOP/s-sanyo6.html,31342,https://www.a-slot.com/SHOP/sanyo6.html,,,,-,,,
必勝金閣寺物語~古都絢爛~,,高砂,2,否,77175,90208,13033,14.4,A-SLOT,90208,https://home-slot.net/SHOP/s-takasago2.html,77175,https://www.a-slot.com/SHOP/takasago2.html,,,,-,,,
IGT さすがの猿飛,,,2,否,27675,40708,13033,32.0,A-SLOT,40708,https://home-slot.net/SHOP/s-igt13.html,27675,https://www.a-slot.com/SHOP/igt13.html,,,,-,,,
ファースト マジシャン,,,2,否,16309,29342,13033,44.4,A-SLOT,29342,https://home-slot.net/SHOP/s-first1.html,16309,https://www.a-slot.com/SHOP/first1.html,,,,-,,,
チャレンジマンA,,岡崎産業,2,否,58567,71600,13033,18.2,A-SLOT,71600,https://home-slot.net/SHOP/s-okazaki4.html,58567,https://www.a-slot.com/SHOP/okazaki4.html,,,,-,,,
2号機 アラジン,,Sammy,2,否,90192,103225,13033,12.6,A-SLOT,103225,https://home-slot.net/SHOP/s-sammy26.html,90192,https://www.a-slot.com/SHOP/sammy26.html,,,,-,,,
コルモ シーシー,,,2,否,37483,50516,13033,25.8,A-SLOT,50516,https://home-slot.net/SHOP/s-colmo1.html,37483,https://www.a-slot.com/SHOP/colmo1.html,,,,-,,,
サイサイ,,北電子,2,否,58567,71600,13033,18.2,A-SLOT,71600,https://home-slot.net/SHOP/s-kitadenshi53.html,58567,https://www.a-slot.com/SHOP/kitadenshi53.html,,,,-,,,
捕物帳 斬,,ベルコ,2,否,32442,45475,13033,28.7,A-SLOT,45475,https://home-slot.net/SHOP/s-bellco4.html,32442,https://www.a-slot.com/SHOP/bellco4.html,,,,-,,,
もっと楽シーサー25Φ 赤パネル,,SANKYO,2,否,51692,64724,13032,20.1,A-SLOT,64724,https://home-slot.net/SHOP/s-sankyo24.html,51692,https://www.a-slot.com/SHOP/sankyo24.html,,,,-,,,
オーイズミ ダッシュ勝平,,,2,否,24467,37499,13032,34.8,A-SLOT,37499,https://home-slot.net/SHOP/s-oizumi1.html,24467,https://www.a-slot.com/SHOP/oizumi1.html,,,,-,,,
KPE スパイガール2 M,,,2,否,31892,44651,12759,28.6,A-SLOT,44651,https://home-slot.net/SHOP/s-kpe37.html,31892,https://www.a-slot.com/SHOP/kpe37.html,,,,-,,,
鮪伝説,,大都技研,2,否,30974,43549,12575,28.9,A-SLOT,43549,https://home-slot.net/SHOP/s-daitogiken27.html,30974,https://www.a-slot.com/SHOP/daitogiken27.html,,,,-,,,
コンチネンタル5,,メーシー,2,否,32276,44820,12544,28.0,ホームスロット,32276,https://home-slot.net/SHOP/s-mizuho-macy29.html,44820,https://www.a-slot.com/SHOP/mizuho-macy29.html,,,,-,,,
アムテックス ラブ嬢3~Wご指名はいかがですか?~,スマスロ,,2,是,51600,64100,12500,19.5,ホームスロット,51600,https://home-slot.net/SHOP/s-amt213.html,64100,https://www.a-slot.com/SHOP/s-amt213.html,,,,-,,,
IGT アダムスファミリー,,,2,否,35820,48000,12180,25.4,A-SLOT,48000,https://home-slot.net/SHOP/s-igt201.html,35820,https://www.a-slot.com/SHOP/igt201.html,,,,-,,,
タイヨー スーパー花浪漫2 30,,,2,否,36566,48684,12118,24.9,A-SLOT,48684,https://home-slot.net/SHOP/s-taiyo14.html,36566,https://www.a-slot.com/SHOP/taiyo14.html,,,,-,,,
タイヨー Piaキャロットへようこそ!!G.O.,,,2,否,33267,45383,12116,26.7,A-SLOT,45383,https://home-slot.net/SHOP/s-taiyo11.html,33267,https://www.a-slot.com/SHOP/taiyo11.html,,,,-,,,
JPS 2027II NEO,,,2,否,24300,36400,12100,33.2,A-SLOT,36400,https://home-slot.net/SHOP/s-jps12.html,24300,https://www.a-slot.com/SHOP/jps12.html,,,,-,,,
JPS 2027II,,,2,否,24300,36400,12100,33.2,A-SLOT,36400,https://home-slot.net/SHOP/s-jps17.html,24300,https://www.a-slot.com/SHOP/jps17.html,,,,-,,,
革命機ヴァルヴレイヴ2,スマスロ,SANKYO,2,是,59500,71500,12000,16.8,ホームスロット,59500,https://home-slot.net/SHOP/s-sankyo232.html,71500,https://www.a-slot.com/SHOP/s-sankyo232.html,,,,-,,,
忍魂 パネル不問,,大都技研,2,否,57900,69800,11900,17.0,ホームスロット,57900,https://home-slot.net/SHOP/s-daitogiken30.html,69800,https://www.a-slot.com/SHOP/daitogiken30.html,,,,-,,,
天誅~Deadly Blow~,,ニューギン,2,否,32167,43367,11200,25.8,A-SLOT,43367,https://home-slot.net/SHOP/s-newgin14.html,32167,https://www.a-slot.com/SHOP/newgin14.html,,,,-,,,
オーイズミ 009 1,,,2,否,22267,33467,11200,33.5,A-SLOT,33467,https://home-slot.net/SHOP/s-oizumi9.html,22267,https://www.a-slot.com/SHOP/oizumi9.html,,,,-,,,
鉄拳伝タフ 2nd ROUND,,オリンピア,2,否,23367,34566,11199,32.4,A-SLOT,34566,https://home-slot.net/SHOP/s-heiwa59.html,23367,https://www.a-slot.com/SHOP/heiwa59.html,,,,-,,,
SNKプレイモア スカイラブ2~再会の空~,,,2,否,36000,47075,11075,23.5,A-SLOT,47075,https://home-slot.net/SHOP/s-snk14.html,36000,https://www.a-slot.com/SHOP/snk14.html,,,,-,,,
アリストクラート マッハGoGoGoIII,,,2,否,36730,47700,10970,23.0,ホームスロット,36730,https://home-slot.net/SHOP/s-rodeo13.html,47700,https://www.a-slot.com/SHOP/aristocrat14.html,,,,-,,,
ビスティ トゥームレイダー 緑パネル,,,2,否,28742,39700,10958,27.6,ホームスロット,28742,https://home-slot.net/SHOP/s-sankyo40.html,39700,https://www.a-slot.com/SHOP/sankyo40.html,,,,-,,,
タイヨーエレック ぷよぷよ!M M,,,2,否,71050,82000,10950,13.4,ホームスロット,71050,https://home-slot.net/SHOP/s-taiyo_elec16.html,82000,https://www.a-slot.com/SHOP/taiyo_elec16.html,,,,-,,,
NET 十字架600式,,,2,否,35820,46667,10847,23.2,A-SLOT,46667,https://home-slot.net/SHOP/s-net33.html,35820,https://www.a-slot.com/SHOP/net33.html,,,,-,,,
スーパービンゴSP3,,ベルコ,2,否,25566,36309,10743,29.6,A-SLOT,36309,https://home-slot.net/SHOP/s-bellco3.html,25566,https://www.a-slot.com/SHOP/bellco3.html,,,,-,,,
KPE ランブルローズXX,,,2,否,57800,68500,10700,15.6,A-SLOT,68500,https://home-slot.net/SHOP/s-kpe16.html,57800,https://www.a-slot.com/SHOP/s-kpe209.html,,,,-,,,
南国育ちスペシャル30,,オリンピア,2,否,43458,53820,10362,19.3,ホームスロット,43458,https://home-slot.net/SHOP/s-heiwa61.html,53820,https://www.a-slot.com/SHOP/heiwa61.html,,,,-,,,
タイヨー 一騎当千BB外伝,,,2,否,29967,40250,10283,25.5,A-SLOT,40250,https://home-slot.net/SHOP/s-taiyo8.html,29967,https://www.a-slot.com/SHOP/taiyo8.html,,,,-,,,
とある科学の超電磁砲2,スマスロ,藤商事,2,是,94800,105000,10200,9.7,ホームスロット,94800,https://home-slot.net/SHOP/s-fuji209.html,105000,https://www.a-slot.com/SHOP/s-fuji209.html,,,,-,,,
エフ BLACK LAGOON ZERO bullet MAX ブラックラグーンゼロ,,,2,是,35100,45100,10000,22.2,ホームスロット,35100,https://home-slot.net/SHOP/s-f201.html,45100,https://www.a-slot.com/SHOP/s-f201.html,,,,-,,,
PACHISLOT リングにかけろ1 ワールドチャンピオンカーニバル編,,スパイキー,2,是,41500,51500,10000,19.4,ホームスロット,41500,https://home-slot.net/SHOP/s-spyki_205.html,51500,https://www.a-slot.com/SHOP/spyki_205.html,,,,-,,,
サボハニ クレアの秘宝伝 ~はじまりの扉と太陽の石~ ボーナストリガーver.,スマスロ,,2,是,54100,64100,10000,15.6,ホームスロット,54100,https://home-slot.net/SHOP/s-daito222.html,64100,https://www.a-slot.com/SHOP/s-daito222.html,,,,-,,,
ハイライツ エンタテインメント トロピカルKISSスウィートVer,,,2,否,41500,51500,10000,19.4,ホームスロット,41500,https://home-slot.net/SHOP/s-highligahts5.html,51500,https://www.a-slot.com/SHOP/highligahts5.html,,,,-,,,
ビスティ 新世紀エヴァンゲリオン~魂の軌跡~ メインパネル 2ch対応,,,2,否,93600,103600,10000,9.7,ホームスロット,93600,https://home-slot.net/SHOP/s-sankyo28.html,103600,https://www.a-slot.com/SHOP/sankyo28.html,,,,-,,,
ダンジョンに出会いを求めるのは間違っているだろうか ダンまち,,北電子,2,是,47800,57800,10000,17.3,ホームスロット,47800,https://home-slot.net/SHOP/s-kitadenshi201.html,57800,https://www.a-slot.com/SHOP/kitadensi201.html,,,,-,,,
蒼き鋼のアルペジオ アルス ノヴァ Mental Model ver.,,Sammy,2,否,35100,45100,10000,22.2,ホームスロット,35100,https://home-slot.net/SHOP/s-sammy201.html,45100,https://www.a-slot.com/SHOP/sammy201.html,,,,-,,,
BLACK LAGOON3 ブラックラグーン3 リミットブレイク,,七匠,2,否,68500,78500,10000,12.7,ホームスロット,68500,https://home-slot.net/SHOP/s-nanashow8.html,78500,https://www.a-slot.com/SHOP/nanashow8.html,,,,-,,,
KPE アミューズメント ルーレットクイーン 女神の羅針盤 2ch対応,,KONAMI,2,否,35100,45100,10000,22.2,ホームスロット,35100,https://home-slot.net/SHOP/s-kpe201.html,45100,https://www.a-slot.com/SHOP/s-kpe201.html,,,,-,,,
PACHISLOT NINJA GAIDEN ニンジャガイデン,,七匠,2,否,41500,51500,10000,19.4,ホームスロット,41500,https://home-slot.net/SHOP/s-nanashow2.html,51500,https://www.a-slot.com/SHOP/nanashow2.html,,,,-,,,
SNKプレイモア DARKER THAN BLACK 黒の契約者,,,2,否,35100,45100,10000,22.2,ホームスロット,35100,https://home-slot.net/SHOP/s-snk40.html,45100,https://www.a-slot.com/SHOP/snk40.html,,,,-,,,
SNKプレイモア 幕末浪漫 月華の剣士外伝~あかりと七つの妖珠~,,,2,否,68500,78500,10000,12.7,ホームスロット,68500,https://home-slot.net/SHOP/s-snk21.html,78500,https://www.a-slot.com/SHOP/snk21.html,,,,-,,,
アミューズメント マジカルハロウィン~Trick or Treat!~,,KONAMI,2,是,40100,50100,10000,20.0,ホームスロット,40100,https://home-slot.net/SHOP/s-konami210.html,50100,https://www.a-slot.com/SHOP/konami210.html,,,,-,,,
ディ ライト 天才バカボン 人類ウナギイヌ化計画を阻止するのだ!,,,2,否,37700,47700,10000,21.0,ホームスロット,37700,https://home-slot.net/SHOP/s-dlight_3.html,47700,https://www.a-slot.com/SHOP/dlight_3.html,,,,-,,,
ハイライツ エンタテインメント トロピカルKISSビターVer,,,2,否,35100,45100,10000,22.2,ホームスロット,35100,https://home-slot.net/SHOP/s-highligahts6.html,45100,https://www.a-slot.com/SHOP/highligahts6.html,,,,-,,,
パオン ディーピー もっと!クレアの秘宝伝 女神の歌声と太陽の子供達,,,2,是,41500,51500,10000,19.4,ホームスロット,41500,https://home-slot.net/SHOP/s-paon201.html,51500,https://www.a-slot.com/SHOP/paon201.html,,,,-,,,
DAXEL 探偵歌劇 ミルキィホームズTD 消えた7と奇跡の歌,,,2,否,47800,57800,10000,17.3,ホームスロット,47800,https://home-slot.net/SHOP/s-daxel13.html,57800,https://www.a-slot.com/SHOP/daxel13.html,,,,-,,,
アイムジャグラーEX AnniversaryEdition,,北電子,2,是,47800,57800,10000,17.3,ホームスロット,47800,https://home-slot.net/SHOP/s-kitadenshi82.html,57800,https://www.a-slot.com/SHOP/kitadensi82.html,,,,-,,,
アクロス ハナビ マットブラックver. FINAL白夜パネル,,,2,否,73500,83500,10000,12.0,ホームスロット,73500,https://home-slot.net/SHOP/s-across10_finalbyakuya.html,83500,https://www.a-slot.com/SHOP/across10_finalbyakuya.html,,,,-,,,
アビリット コウヘイ最凶伝~地獄の閻魔覚醒の刻~ メインパネル,,,2,否,46500,56500,10000,17.7,ホームスロット,46500,https://home-slot.net/SHOP/s-ginza20.html,56500,https://www.a-slot.com/SHOP/ginza20.html,,,,-,,,
タイヨーエレック ToHeart2 トゥーハート2 バカンスパネル,,,2,否,98500,108500,10000,9.2,ホームスロット,98500,https://home-slot.net/SHOP/s-taiyo_elec18.html,108500,https://www.a-slot.com/SHOP/taiyo_elec18.html,,,,-,,,
DAXEL まじかるすいーとプリズム ナナ おめでとうパネル,,,2,否,98500,108500,10000,9.2,ホームスロット,98500,https://home-slot.net/SHOP/s-daxel5.html,108500,https://www.a-slot.com/SHOP/daxel5.html,,,,-,,,
SLOT 魔法少女まどか☆マギカ まどマギ キュゥべえver.,,メーシー,2,是,119800,129800,10000,7.7,ホームスロット,119800,https://home-slot.net/SHOP/s-mizuho-macy44.html,129800,https://www.a-slot.com/SHOP/mizuho-macy49.html,,,,-,,,
SNKプレイモア シスタークエスト3~黄金の大地と東の勇者~,,,2,否,89800,99800,10000,10.0,ホームスロット,89800,https://home-slot.net/SHOP/s-snk35.html,99800,https://www.a-slot.com/SHOP/snk35.html,,,,-,,,
めぞん一刻2 ~あなたに会えて 本当によかった~ メインパネル,,オリンピア,2,否,78700,88700,10000,11.3,ホームスロット,78700,https://home-slot.net/SHOP/s-heiwa38.html,88700,https://www.a-slot.com/SHOP/heiwa38.html,,,,-,,,
アミューズメント マジカルハロウィン8 カボチャ特盛パネル,スマスロ,KONAMI,2,是,40900,50900,10000,19.6,ホームスロット,40900,https://home-slot.net/SHOP/s-konami220.html,50900,https://www.a-slot.com/SHOP/s-konami220.html,,,,-,,,
サンスリー 聖闘士星矢 海皇覚醒 CUSTOM EDITION,スマスロ,,2,是,41500,51500,10000,19.4,ホームスロット,41500,https://home-slot.net/SHOP/s-santhree206.html,51500,https://www.a-slot.com/SHOP/s-santhree206.html,,,,-,,,
SLOT 魔法少女まどか☆マギカ まどマギ 全員集合Ver.,,メーシー,2,否,139800,149800,10000,6.7,ホームスロット,139800,https://home-slot.net/SHOP/s-mizuho-macy40.html,149800,https://www.a-slot.com/SHOP/mizuho-macy40.html,,,,-,,,
アミューズメント ~ガールズケイリン~G1フェアリーグランプリ,,KONAMI,2,是,35100,45100,10000,22.2,ホームスロット,35100,https://home-slot.net/SHOP/s-konami207.html,45100,https://www.a-slot.com/SHOP/konami207.html,,,,-,,,
アミューズメント 銀河英雄伝説 Die Neue These,スマスロ,KONAMI,2,是,73500,83500,10000,12.0,ホームスロット,73500,https://home-slot.net/SHOP/s-konami226.html,83500,https://www.a-slot.com/SHOP/s-konami226.html,,,,-,,,
ニューパルサーSP 20thAnnibersaryパネル,,山佐,2,否,98500,108500,10000,9.2,ホームスロット,98500,https://home-slot.net/SHOP/s-yamasa101.html,108500,https://www.a-slot.com/SHOP/yamasa101.html,,,,-,,,
DAXEL まじかるすいーとプリズム ナナ アスカパネル,,,2,否,68500,78500,10000,12.7,ホームスロット,68500,https://home-slot.net/SHOP/s-daxel6.html,78500,https://www.a-slot.com/SHOP/daxel6.html,,,,-,,,
