機種名,規格,廠商,站數,有庫存,最低價,最高價,價差,價差%,最便宜店家,ホームスロット 價格,ホームスロット 連結,A-SLOT 價格,A-SLOT 連結,イニシャルP (FC2) 價格,イニシャルP (FC2) 連結,行情排名,行情價,本週漲跌,上市週數,備註
高尾 CRリアル鬼ごっこ387ver.,,,1,否,105898,105898,0,0.0,ホームスロット,105898,https://home-slot.net/SHOP/p-takao82.html,,,,,,-,,,
高尾 CRワシズ閻魔の闘牌99ver.,,,1,否,92400,92400,0,0.0,ホームスロット,92400,https://home-slot.net/SHOP/p-takao78.html,,,,,,-,,,
高尾 CR一騎当千 SS2 WAA 甘デジ,,,1,否,71600,71600,0,0.0,ホームスロット,71600,https://home-slot.net/SHOP/p-takao61.html,,,,,,-,,,
高尾 CR弾球黙示録カイジ欲望 XF2,,,1,否,43777,43777,0,0.0,ホームスロット,43777,https://home-slot.net/SHOP/p-takao12.html,,,,,,-,,,
高尾 P DD北斗の拳3 百突99ver.,,,1,是,330200,330200,0,0.0,ホームスロット,330200,https://home-slot.net/SHOP/p-takao261.html,,,,,,-,,,
高尾 P sin 七つの大罪 X TREME,,,1,是,57600,57600,0,0.0,ホームスロット,57600,https://home-slot.net/SHOP/p-takao248.html,,,,,,-,,,
高尾 ちょいパチ美男ですねVCA39,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-takao100.html,,,,,,-,,,
高尾 クイーンズブレイド3 レイナVer.,P,,1,否,57600,57600,0,0.0,ホームスロット,57600,https://home-slot.net/SHOP/p-takao212.html,,,,,,-,,,
高尾 怪談ぱちんこCR稲川淳二 SAA,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-takao66.html,,,,,,-,,,
高尾 怪談ぱちんこCR稲川淳二 SLB,,,1,否,290556,290556,0,0.0,ホームスロット,290556,https://home-slot.net/SHOP/p-takao67.html,,,,,,-,,,
高尾 閃乱カグラ2 胸躍る199Ver.,P,,1,否,59000,59000,0,0.0,ホームスロット,59000,https://home-slot.net/SHOP/p-takao223.html,,,,,,-,,,
黄門ちゃまV女神盛 MEGAMORI,,オリンピア,1,是,50100,50100,0,0.0,A-SLOT,,,50100,https://www.a-slot.com/SHOP/heiwa204.html,,,,-,,,
2号機 エーアイ サファリラリー 青パネル,,,1,否,89100,89100,0,0.0,A-SLOT,,,89100,https://www.a-slot.com/SHOP/ai_safarirally_kasugai.html,,,,-,,,
2号機 リバティーベルIV 2ch対応,,ユニバーサル,1,否,79890,79890,0,0.0,A-SLOT,,,79890,https://www.a-slot.com/SHOP/univerasal18.html,,,,-,,,
3×3EYES サザンアイズ 聖魔覚醒,,大都技研,1,否,84900,84900,0,0.0,A-SLOT,,,84900,https://www.a-slot.com/SHOP/daitogiken59.html,,,,-,,,
3号機 コンチネンタル3 2ch対応,,メーシー,1,否,99500,99500,0,0.0,A-SLOT,,,99500,https://www.a-slot.com/SHOP/mizuho-macy10.html,,,,-,,,
CR009 RE CYBORG NR K,,ニューギン,1,否,59000,59000,0,0.0,ホームスロット,59000,https://home-slot.net/SHOP/p-newgin123.html,,,,,,-,,,
CRAスーパー海物語 IN 沖縄3 ASB,,SANYO,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-sanyo71.html,,,,,,-,,,
CRAミニスカポリス2 KS 甘デジ,,大一,1,否,49015,49015,0,0.0,ホームスロット,49015,https://home-slot.net/SHOP/p-daiichi12.html,,,,,,-,,,
CRA大夏祭り にゃ七ver. 甘デジ,,SANKYO,1,否,49120,49120,0,0.0,ホームスロット,49120,https://home-slot.net/SHOP/p-sankyo15.html,,,,,,-,,,
CRA忍者ハットリくん NS 甘デジ,,大一,1,否,42138,42138,0,0.0,ホームスロット,42138,https://home-slot.net/SHOP/p-daiichi22.html,,,,,,-,,,
CRA義風堂々!!~兼続と慶次~99ver.,,ニューギン,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-newgin141.html,,,,,,-,,,
CRA釣りバカ日誌SAFS 甘デジ,,SANYO,1,否,47231,47231,0,0.0,ホームスロット,47231,https://home-slot.net/SHOP/p-sanyo28.html,,,,,,-,,,
CRF機動戦艦ナデシコM.O.E‐NX,,SANKYO,1,否,86000,86000,0,0.0,ホームスロット,86000,https://home-slot.net/SHOP/p-sankyo29.html,,,,,,-,,,
CRちょいパチ天才バカボン5 29,,大一,1,否,86000,86000,0,0.0,ホームスロット,86000,https://home-slot.net/SHOP/p-daiichi96.html,,,,,,-,,,
CRぱちんこ冬のソナタFinal,,京楽,1,否,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-kyoraku63.html,,,,,,-,,,
CRびっくりぱちんこスケバン刑事,,京楽,1,否,71600,71600,0,0.0,ホームスロット,71600,https://home-slot.net/SHOP/p-kyoraku56.html,,,,,,-,,,
CRアナザーゴッドハーデスアドベント,,メーシー,1,否,62800,62800,0,0.0,ホームスロット,62800,https://home-slot.net/SHOP/p-macy7.html,,,,,,-,,,
CRエイリアンVSプレデター FPF,,藤商事,1,否,41891,41891,0,0.0,ホームスロット,41891,https://home-slot.net/SHOP/p-huji4.html,,,,,,-,,,
CRカウボーイビバップ 299ver.,,平和,1,否,101000,101000,0,0.0,ホームスロット,101000,https://home-slot.net/SHOP/p-heiwa116.html,,,,,,-,,,
CRカウボーイビバップ 399ver.,,平和,1,否,160900,160900,0,0.0,ホームスロット,160900,https://home-slot.net/SHOP/p-heiwa115.html,,,,,,-,,,
